question,answer
What is the course code for AI Understanding and Use?,The course code for AI Understanding and Use is OMNI100007.
Who is the instructor for AI Understanding and Use?,The instructor of AI Understanding and Use is I'm so sorry..
How many credits is AI Understanding and Use worth?,AI Understanding and Use is worth 3.0 credits.
When and where is AI Understanding and Use held?,"AI Understanding and Use is held at Number 6, 7, 8, 9. in Window Innovator (306)."
What type of course is AI Understanding and Use?,AI Understanding and Use is classified as a Theoretical Practice course.
Are there any additional notes for AI Understanding and Use?,Notes: Nan
What is the course code for SW Fusion Capston design.?,The course code for SW Fusion Capston design. is SWCE100003.
Who is the instructor for SW Fusion Capston design.?,"The instructor of SW Fusion Capston design. is Gong Jin-chang, Kim Ta-hoon, and Julian."
How many credits is SW Fusion Capston design. worth?,SW Fusion Capston design. is worth 3.0 credits.
When and where is SW Fusion Capston design. held?,"SW Fusion Capston design. is held at Fire 10, 11, fire 12, 13, water 11, 12, in Window Innovator (307), Window Innovator (07) and Window Innovator (307)."
What type of course is SW Fusion Capston design.?,SW Fusion Capston design. is classified as a Activation course.
Are there any additional notes for SW Fusion Capston design.?,Notes: Nan
What is the course code for SW Fusion Capston design.?,The course code for SW Fusion Capston design. is SWCE100003.
Who is the instructor for SW Fusion Capston design.?,"The instructor of SW Fusion Capston design. is Immigrants, Electric Lakes, and On-Tall."
How many credits is SW Fusion Capston design. worth?,SW Fusion Capston design. is worth 3.0 credits.
When and where is SW Fusion Capston design. held?,"SW Fusion Capston design. is held at Fire 10, 11, fire 12, 13, water 10, 11. in Three campuses, three campuses, and three campuses (217)."
What type of course is SW Fusion Capston design.?,SW Fusion Capston design. is classified as a Activation course.
Are there any additional notes for SW Fusion Capston design.?,"Notes: In the third grade of the three campuses, you can apply for the entire course."
What is the course code for SW Fusion Capston design.?,The course code for SW Fusion Capston design. is SWCE100004.
Who is the instructor for SW Fusion Capston design.?,"The instructor of SW Fusion Capston design. is Gong Jin-chang, Kim Ta-hoon, and Julian."
How many credits is SW Fusion Capston design. worth?,SW Fusion Capston design. is worth 3.0 credits.
When and where is SW Fusion Capston design. held?,"SW Fusion Capston design. is held at October, 11, January 12, Tuesday 10, 11, and Tuesday 12. in The Innovator, the Innovator, the Window Innovator, the Window Innovator, and the Window Innovator 306.."
What type of course is SW Fusion Capston design.?,SW Fusion Capston design. is classified as a Activation course.
Are there any additional notes for SW Fusion Capston design.?,Notes: Nan
What is the course code for SW Fusion Capston design.?,The course code for SW Fusion Capston design. is SWCE100004.
Who is the instructor for SW Fusion Capston design.?,"The instructor of SW Fusion Capston design. is Immunity, Justice, and Kim.."
How many credits is SW Fusion Capston design. worth?,SW Fusion Capston design. is worth 3.0 credits.
When and where is SW Fusion Capston design. held?,"SW Fusion Capston design. is held at Fire 10, 11, fire 12, 13, water 10, 11. in Three: campus (218), three (immense) campus (218) and three (immense) campus (218)."
What type of course is SW Fusion Capston design.?,SW Fusion Capston design. is classified as a Activation course.
Are there any additional notes for SW Fusion Capston design.?,"Notes: In the third grade of the three campuses, you can apply for the entire course."
What is the course code for Data Science Foreground?,The course code for Data Science Foreground is SWCE100005.
Who is the instructor for Data Science Foreground?,The instructor of Data Science Foreground is Immunity..
How many credits is Data Science Foreground worth?,Data Science Foreground is worth 3.0 credits.
When and where is Data Science Foreground held?,"Data Science Foreground is held at Number 1, 2, 3, 4. in Window Innovator (306)."
What type of course is Data Science Foreground?,Data Science Foreground is classified as a Theoretical Practice course.
Are there any additional notes for Data Science Foreground?,Notes: I'm going to give you a little bit more information on how to do this.
What is the course code for I.I.D.?,The course code for I.I.D. is SWCE100013.
Who is the instructor for I.I.D.?,The instructor of I.I.D. is Yoon-seok.
How many credits is I.I.D. worth?,I.I.D. is worth 3.0 credits.
When and where is I.I.D. held?,"I.I.D. is held at Thirsty, seven, eight, nine. in Window Innovator (307)."
What type of course is I.I.D.?,I.I.D. is classified as a Theoretical Practice course.
Are there any additional notes for I.I.D.?,Notes: I'm going to give you a little bit more information on how to do this.
What is the course code for Fusion Capston Design I?,The course code for Fusion Capston Design I is PROJ3001.
Who is the instructor for Fusion Capston Design I?,The instructor of Fusion Capston Design I is Duplex.
How many credits is Fusion Capston Design I worth?,Fusion Capston Design I is worth 3.0 credits.
When and where is Fusion Capston Design I held?,"Fusion Capston Design I is held at Tuesday 10, 11, 12, 13 in Aggravation Cooperator (106)."
What type of course is Fusion Capston Design I?,Fusion Capston Design I is classified as a Theoretical Practice course.
Are there any additional notes for Fusion Capston Design I?,Notes: Nan
What is the course code for Fusion Capston Design I?,The course code for Fusion Capston Design I is PROJ3001.
Who is the instructor for Fusion Capston Design I?,The instructor of Fusion Capston Design I is White River.
How many credits is Fusion Capston Design I worth?,Fusion Capston Design I is worth 3.0 credits.
When and where is Fusion Capston Design I held?,"Fusion Capston Design I is held at March 9, 10, 11, 12 in Apothecary (611)."
What type of course is Fusion Capston Design I?,Fusion Capston Design I is classified as a Theoretical Practice course.
Are there any additional notes for Fusion Capston Design I?,Notes: Nan
What is the course code for Standard field practice (15 Weeks)1?,The course code for Standard field practice (15 Weeks)1 is TRAI1003.
Who is the instructor for Standard field practice (15 Weeks)1?,The instructor of Standard field practice (15 Weeks)1 is I'm so sorry..
How many credits is Standard field practice (15 Weeks)1 worth?,Standard field practice (15 Weeks)1 is worth 3.0 credits.
When and where is Standard field practice (15 Weeks)1 held?,Standard field practice (15 Weeks)1 is held at Nan in Nan.
What type of course is Standard field practice (15 Weeks)1?,Standard field practice (15 Weeks)1 is classified as a Activation course.
Are there any additional notes for Standard field practice (15 Weeks)1?,Notes: Nan
What is the course code for Standard Field Practice (15 Weeks)2?,The course code for Standard Field Practice (15 Weeks)2 is TRAI2009.
Who is the instructor for Standard Field Practice (15 Weeks)2?,The instructor of Standard Field Practice (15 Weeks)2 is Yoon-suk Day.
How many credits is Standard Field Practice (15 Weeks)2 worth?,Standard Field Practice (15 Weeks)2 is worth 3.0 credits.
When and where is Standard Field Practice (15 Weeks)2 held?,Standard Field Practice (15 Weeks)2 is held at Nan in Nan.
What type of course is Standard Field Practice (15 Weeks)2?,Standard Field Practice (15 Weeks)2 is classified as a Activation course.
Are there any additional notes for Standard Field Practice (15 Weeks)2?,Notes: Nan
What is the course code for Standard field practice (15 weeks)3?,The course code for Standard field practice (15 weeks)3 is TRAI3008.
Who is the instructor for Standard field practice (15 weeks)3?,The instructor of Standard field practice (15 weeks)3 is Yoon-yoon..
How many credits is Standard field practice (15 weeks)3 worth?,Standard field practice (15 weeks)3 is worth 3.0 credits.
When and where is Standard field practice (15 weeks)3 held?,Standard field practice (15 weeks)3 is held at Nan in Nan.
What type of course is Standard field practice (15 weeks)3?,Standard field practice (15 weeks)3 is classified as a Activation course.
Are there any additional notes for Standard field practice (15 weeks)3?,Notes: Nan
What is the course code for Standard field practice (15 Weeks)4?,The course code for Standard field practice (15 Weeks)4 is TRAI4022.
Who is the instructor for Standard field practice (15 Weeks)4?,The instructor of Standard field practice (15 Weeks)4 is Lake Yuwan..
How many credits is Standard field practice (15 Weeks)4 worth?,Standard field practice (15 Weeks)4 is worth 3.0 credits.
When and where is Standard field practice (15 Weeks)4 held?,Standard field practice (15 Weeks)4 is held at Nan in Nan.
What type of course is Standard field practice (15 Weeks)4?,Standard field practice (15 Weeks)4 is classified as a Activation course.
Are there any additional notes for Standard field practice (15 Weeks)4?,Notes: Nan
What is the course code for Standard field practice (15 weeks)5?,The course code for Standard field practice (15 weeks)5 is TRAI5003.
Who is the instructor for Standard field practice (15 weeks)5?,The instructor of Standard field practice (15 weeks)5 is Lee Young-hong..
How many credits is Standard field practice (15 weeks)5 worth?,Standard field practice (15 weeks)5 is worth 3.0 credits.
When and where is Standard field practice (15 weeks)5 held?,Standard field practice (15 weeks)5 is held at Nan in Nan.
What type of course is Standard field practice (15 weeks)5?,Standard field practice (15 weeks)5 is classified as a Activation course.
Are there any additional notes for Standard field practice (15 weeks)5?,Notes: Nan
What is the course code for Education in the Ministry?,The course code for Education in the Ministry is TEED1004.
Who is the instructor for Education in the Ministry?,The instructor of Education in the Ministry is Kim Ji-hyun.
How many credits is Education in the Ministry worth?,Education in the Ministry is worth 2.0 credits.
When and where is Education in the Ministry held?,Education in the Ministry is held at Nan in Nan.
What type of course is Education in the Ministry?,Education in the Ministry is classified as a Activation course.
Are there any additional notes for Education in the Ministry?,Notes: Only students who are teaching are available.
What is the course code for The Door to Design?,The course code for The Door to Design is PROJ1101.
Who is the instructor for The Door to Design?,The instructor of The Door to Design is Chryng - red stone.
How many credits is The Door to Design worth?,The Door to Design is worth 3.0 credits.
When and where is The Door to Design held?,"The Door to Design is held at Months 6,7,8 in Mechanics (501)."
What type of course is The Door to Design?,The Door to Design is classified as a Theory course.
Are there any additional notes for The Door to Design?,Notes: Nan
What is the course code for The Door to Design?,The course code for The Door to Design is PROJ1101.
Who is the instructor for The Door to Design?,"The instructor of The Door to Design is Ji-woo, Yoon-seong."
How many credits is The Door to Design worth?,The Door to Design is worth 3.0 credits.
When and where is The Door to Design held?,"The Door to Design is held at Number 6, 7, 8. in Mechanical (607)."
What type of course is The Door to Design?,The Door to Design is classified as a Theory course.
Are there any additional notes for The Door to Design?,Notes: Nan
What is the course code for The Door to Design?,The course code for The Door to Design is PROJ1101.
Who is the instructor for The Door to Design?,The instructor of The Door to Design is Julian..
How many credits is The Door to Design worth?,The Door to Design is worth 3.0 credits.
When and where is The Door to Design held?,"The Door to Design is held at Thirst 6,7,8 in Mechanical (607)."
What type of course is The Door to Design?,The Door to Design is classified as a Theory course.
Are there any additional notes for The Door to Design?,Notes: Nan
What is the course code for Theoretics?,The course code for Theoretics is MECH1102.
Who is the instructor for Theoretics?,The instructor of Theoretics is Padre Hyun..
How many credits is Theoretics worth?,Theoretics is worth 3.0 credits.
When and where is Theoretics held?,"Theoretics is held at Months 6,7,8 in Mechanical (606)."
What type of course is Theoretics?,Theoretics is classified as a Theory course.
Are there any additional notes for Theoretics?,Notes: Nan
What is the course code for Theoretics?,The course code for Theoretics is MECH1102.
Who is the instructor for Theoretics?,The instructor of Theoretics is Padre Hyun..
How many credits is Theoretics worth?,Theoretics is worth 3.0 credits.
When and where is Theoretics held?,"Theoretics is held at Month 1,3 in Mechanical (606)."
What type of course is Theoretics?,Theoretics is classified as a Theory course.
Are there any additional notes for Theoretics?,Notes: Nan
What is the course code for Theoretics?,The course code for Theoretics is MECH1102.
Who is the instructor for Theoretics?,The instructor of Theoretics is Kim Ji-suk.
How many credits is Theoretics worth?,Theoretics is worth 3.0 credits.
When and where is Theoretics held?,"Theoretics is held at Months 6,7,8 in Mechanical tube (513)."
What type of course is Theoretics?,Theoretics is classified as a Theory course.
Are there any additional notes for Theoretics?,Notes: Nan
What is the course code for Theoretics?,The course code for Theoretics is MECH1102.
Who is the instructor for Theoretics?,The instructor of Theoretics is Kim Ji-suk.
How many credits is Theoretics worth?,Theoretics is worth 3.0 credits.
When and where is Theoretics held?,"Theoretics is held at Tuesday 2, 3. in Mechanical tube (513)."
What type of course is Theoretics?,Theoretics is classified as a Theory course.
Are there any additional notes for Theoretics?,Notes: Nan
What is the course code for Lead Design One.?,The course code for Lead Design One. is GUID100002.
Who is the instructor for Lead Design One.?,The instructor of Lead Design One. is Immchaum.
How many credits is Lead Design One. worth?,Lead Design One. is worth 1.0 credits.
When and where is Lead Design One. held?,Lead Design One. is held at MONTH 5 in Mechanics (501).
What type of course is Lead Design One.?,Lead Design One. is classified as a Theory course.
Are there any additional notes for Lead Design One.?,Notes: Nan
What is the course code for Lead Design One.?,The course code for Lead Design One. is GUID100002.
Who is the instructor for Lead Design One.?,The instructor of Lead Design One. is Immchaum.
How many credits is Lead Design One. worth?,Lead Design One. is worth 1.0 credits.
When and where is Lead Design One. held?,Lead Design One. is held at Tub 5 in Mechanics (501).
What type of course is Lead Design One.?,Lead Design One. is classified as a Theory course.
Are there any additional notes for Lead Design One.?,Notes: Nan
What is the course code for Industrial Mathematics (2)?,The course code for Industrial Mathematics (2) is MECH2102.
Who is the instructor for Industrial Mathematics (2)?,The instructor of Industrial Mathematics (2) is Immchaum.
How many credits is Industrial Mathematics (2) worth?,Industrial Mathematics (2) is worth 3.0 credits.
When and where is Industrial Mathematics (2) held?,"Industrial Mathematics (2) is held at Month 1,3 in Mechanics (502)."
What type of course is Industrial Mathematics (2)?,Industrial Mathematics (2) is classified as a Theory course.
Are there any additional notes for Industrial Mathematics (2)?,Notes: Nan
What is the course code for Industrial Mathematics (2)?,The course code for Industrial Mathematics (2) is MECH2102.
Who is the instructor for Industrial Mathematics (2)?,The instructor of Industrial Mathematics (2) is Immchaum.
