Course Name,Description
공학설계입문 (Introduction of Engineering Design),"공학인이 갖추어야 할 기본소양과 창의적 설계능력을 기르기 위한 교과목으로 이론 강의와 작품설계실험으로 구성된다. 이 과목을 통해서 공학인의 정의 및 필요한 능력, 제안서 및 기술 보고서 쓰는 법, 프로젝트 추진 법, 팀워크를 통한 공동계발법 등을 경험하고 공부한다."
이산수학 (Discrete Mathematics),"컴퓨터과학 및 공학에 필요한 기초이론과 수학을 그 내용으로 하며, 집합, 수열, 논리, 순열, 조합, 비둘기집 원리, 관계와 방향 그래프, 함수, 그래프 이론, 순서관계와 구조, 트리, 반그룹과 그룹, 언어와 유한 상태 기계 그룹과 코딩 등을 학습한다."
컴퓨팅사고 (Computational Thinking),컴퓨터 및 정보기술과 소프트웨어 개발 원리를 이해하고 간단한 프로그램을 개발한다. 일상과 전공분야의 문제를 분석하고 해결 알고리즘을 찾는다.
C/C++프로그래밍 (C/C++ Programming),"객체지향언어의 개념과 특성에 대하여 이해하고 클래스의 개념과 정의방법, 상속, 가상함수, 함수 오버로드와 연산자 오버로드 등 C++의 객체지향적 요소를 학습하고, Visual C++를 이용하여 Windows 프로그램의 구현 방법도 학습한다."
운영체제 (Operating Systems),"운영체제의 각 도스인 프로세서 관리, 메모리관리, 파일관리, 보조기억 관리 및 분산처리의 기본개념을 파악하여, 컴퓨터 시스템의 여러 자원을 효율적으로 관리하는 운영체제의 기본 개념을 습득한다."
자료구조 (Data Structures),"데이터의 기본개념과 컴퓨터내에서의 표현 방법인 스택, 큐, 리스트, 트리 구조 및 그래프 구조 등 다양한 구조의 데이터 표현 방식을 익히고, 이 구조들을 다루는 프로그램 작성능력을 기른다."
컴퓨터구조 (Computer Architecture),"연산, 제어, 기억, 입출력 장치의 구조 및 동작원리에 대해서 학습하고, 디지털 논리 설계 방법을 이용하여 기본 컴퓨터의 설계와 소프트웨어 설계 방법을 배운다. 보다 고성능 컴퓨터 설계를 위한 병렬처리기법과 RISC 구조에 대해서도 학습한다."
확률및통계 (Probability Theory and Statistics),"자연과학 뿐만 아니라, 인문사회과학 분야에서도 널리 이용되는 통계학의 기초이론을 학습하여 여러 응용분야에 적용시키는데 주안점을 둔다."
JAVA프로그래밍 (Java Programming),자바언어의 프로그래밍 환경을 이해함으로써 자바언어의 특장을 알 수 있다. 범용 프로그래밍 언어이기 때문에 다른 범용언어와 같은 구문과 코딩규칙은 물론 고유의 추가적인 구문을 익힘으로써 객체지향적인 언어로서의 특징을 발견하고 이를 구현 할 수 있다. 다양한 실습을 통해 자바언어의 활용력을 향상시킨다.
디지탈시스템설계 (Digital System Design),"본 컴퓨터에 대한 이해를 바탕으로 입출력 장치, 메모리 장치의 구조, 멀티프로세서의 구성방법에 대해서 학습하고, 하드웨어 설계기법을 습득함으로써 컴퓨터 시스템 설계능력을 배양한다."
디지탈신호처리 (Digital Signal Processing),"연속 또는 이산신호계를 갖는 선형시불변 시스템의 특성과 수학적 모델링을 학습한 후, 이러한 시스템의 해석을 위한 연속·이산·고속 Fourier변환, Laplace 변환 및 Z변환 기법을 취급하여 신호와 시스템을 시간영역 및 주파수 영역에서 해석하는 기법을 터득한다."
