question_en,answer_en
Who teaches AI Understanding and Utilization?,The instructor of AI Understanding and Utilizationis Go Jin-wook.
Who is the professor for AI Understanding and Utilization?,The instructor of AI Understanding and Utilizationis Go Jin-wook.
Who instructs AI Understanding and Utilization?,The instructor of AI Understanding and Utilizationis Go Jin-wook.
Who instructs AI Understanding and Utilization?,The instructor of AI Understanding and Utilizationis Go Jin-wook.
When is AI Understanding and Utilizationheld?,"AI Understanding and Utilizationis held on Wed6,7,8,9."
At what time is AI Understanding and Utilizationheld?,"AI Understanding and Utilizationis held on Wed6,7,8,9."
When does AI Understanding and Utilizationheld?,"AI Understanding and Utilizationis held on Wed6,7,8,9."
When does AI Understanding and Utilizationheld?,"AI Understanding and Utilizationis held on Wed6,7,8,9."
Where is AI Understanding and Utilizationlocated?,AI Understanding and Utilizationtakes place in Creative Innovation Hall (306).
Where does AI Understanding and Utilizationlocated?,AI Understanding and Utilizationtakes place in Creative Innovation Hall (306).
At what location is AI Understanding and Utilizationlocated?,AI Understanding and Utilizationtakes place in Creative Innovation Hall (306).
Where does AI Understanding and Utilizationlocated?,AI Understanding and Utilizationtakes place in Creative Innovation Hall (306).
What is the credit of AI Understanding and Utilization?,AI Understanding and Utilizationis worth 3.0 credits.
What’s the credit count for of AI Understanding and Utilization?,AI Understanding and Utilizationis worth 3.0 credits.
How much credit does of AI Understanding and Utilization?,AI Understanding and Utilizationis worth 3.0 credits.
How much credit does of AI Understanding and Utilization?,AI Understanding and Utilizationis worth 3.0 credits.
Who teaches SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Ko Jin-wook, Kim Tae-hoon, Jeong Gil-eon."
Who instructs SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Ko Jin-wook, Kim Tae-hoon, Jeong Gil-eon."
Who is the professor for SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Ko Jin-wook, Kim Tae-hoon, Jeong Gil-eon."
Who instructs SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Ko Jin-wook, Kim Tae-hoon, Jeong Gil-eon."
When is SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed11,12."
When does SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed11,12."
When does SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed11,12."
When does SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed11,12."
Where is SWConvergence Capstone Designlocated?,"SWConvergence Capstone Designtakes place in Creative Innovation Hall (307), Creative Innovation Hall (307), Creative Innovation Hall (307)."
At what location is SWConvergence Capstone Designlocated?,"SWConvergence Capstone Designtakes place in Creative Innovation Hall (307), Creative Innovation Hall (307), Creative Innovation Hall (307)."
At what location is SWConvergence Capstone Designlocated?,"SWConvergence Capstone Designtakes place in Creative Innovation Hall (307), Creative Innovation Hall (307), Creative Innovation Hall (307)."
Where does SWConvergence Capstone Designlocated?,"SWConvergence Capstone Designtakes place in Creative Innovation Hall (307), Creative Innovation Hall (307), Creative Innovation Hall (307)."
What is the credit of SWConvergence Capstone Design?,SWConvergence Capstone Designis worth 3.0 credits.
How many credits is of SWConvergence Capstone Design?,SWConvergence Capstone Designis worth 3.0 credits.
How many credits is of SWConvergence Capstone Design?,SWConvergence Capstone Designis worth 3.0 credits.
What’s the credit count for of SWConvergence Capstone Design?,SWConvergence Capstone Designis worth 3.0 credits.
Who teaches SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Seong-min Lee, Yun-ho Jeon, Jang-hoon Hyeon."
Who is teaching SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Seong-min Lee, Yun-ho Jeon, Jang-hoon Hyeon."
Who instructs SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Seong-min Lee, Yun-ho Jeon, Jang-hoon Hyeon."
Who is the professor for SWConvergence Capstone Design?,"The instructor of SWConvergence Capstone Designis Seong-min Lee, Yun-ho Jeon, Jang-hoon Hyeon."
When is SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed10,11."
What time is SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed10,11."
At what time is SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed10,11."
At what time is SWConvergence Capstone Designheld?,"SWConvergence Capstone Designis held on Tue10,11,Tue12,13,Wed10,11."
