과정,폐강여부,과목코드,강좌번호,개설과목,개설학과,중간강의점검여부,문의처,이수구분,학점,주야,분반,교차수강,성적평가,정원,1학년정원,2학년정원,3학년정원,"4,5학년정원",전체학년제한,전체학년정원,신청현황,담당교수 교번,담당교수명,A / B / C / D / E / F / G,학년,75분수업,원격수업,승인,강의구분,학점교류여부,강의시간,강의실,강의계획서,비고,(교양)대영역,(교양)소영역,공학인증,시수,전공이수체계
일반,,OMNI100007,2025201157,AI 이해와 활용,소프트웨어융합교육원,Y,8736,특선,3.0,주,01,N,절대,20,0,0,0,0,20,20,10,20244011,고진욱,0/0/0/0/0/0/0,1,,,,이론실습,N,"수6,7,8,9",창의혁신관(306),보기,,,,,4.0,
일반,,SWCE100003,2025201155,SW융합 캡스톤디자인,소프트웨어융합교육원,Y,8736,일선,3.0,주,01,N,절대,20,0,0,0,0,20,20,9,"20244011,20201026,20241014","고진욱,김태훈,정길언",0/0/0/0/0/0/0,3,,,,실습,N,"화10,11,화12,13,수11,12","창의혁신관(307),창의혁신관(307),창의혁신관(307)",보기,,,,,6.0,
일반,,SWCE100003,2025201156,SW융합 캡스톤디자인,소프트웨어융합교육원,Y,0448638450,일선,3.0,주,02,N,절대,20,0,0,0,0,20,20,2,"20251005,20231005,20231018","이성민,전윤호,현장훈",0/0/0/0/0/0/0,3,,,,실습,N,"화10,11,화12,13,수10,11","세종(임대형)캠퍼스(217),세종(임대형)캠퍼스(217),세종(임대형)캠퍼스(217)",보기,세종캠퍼스 3학년 이상 전체학과 신청가능(SW학과 신청가능),,,,6.0,
일반,,SWCE100004,2025200957,SW융합 캡스톤디자인심화,소프트웨어융합교육원,Y,0428288736,일선,3.0,주,01,N,절대,20,0,0,0,0,20,20,9,"20244011,20201026,20241014","고진욱,김태훈,정길언",0/0/0/0/0/0/0,3,,,,실습,N,"월10,11,월12,화10,11,화12","창의혁신관(306),창의혁신관(306),창의혁신관(306),창의혁신관(306)",보기,,,,,6.0,
일반,,SWCE100004,2025201154,SW융합 캡스톤디자인심화,소프트웨어융합교육원,Y,0448638450,일선,3.0,주,03,N,절대,20,0,0,0,0,20,20,9,"20251005,20091014,20211712","이성민,정의림,김은경",0/0/0/0/0/0/0,3,,,,실습,N,"화10,11,화12,13,수10,11","세종(임대형)캠퍼스(218),세종(임대형)캠퍼스(218),세종(임대형)캠퍼스(218)",보기,세종캠퍼스 3학년 이상 전체학과 신청가능(SW학과 신청가능),,,,6.0,
일반,,SWCE100005,2025200953,데이터사이언스 개론,소프트웨어융합교육원,Y,0428288736,일선,3.0,주,01,N,절대,24,0,0,0,0,24,24,3,20244012,이정민,0/0/0/0/0/0/0,3,,,,이론실습,N,"수1,2,3,4",창의혁신관(306),보기,"편입생 수강가능/SW관련학과 수강불가(컴퓨터공학과, 인공지능소프트웨어학과, 모바일융합공학과, 지능미디어공학과)",,,,4.0,
일반,,SWCE100013,2025200955,인공지능 개론,소프트웨어융합교육원,Y,0428288736,일선,3.0,주,01,N,절대,24,0,0,0,0,24,24,3,20224017,윤성재,0/0/0/0/0/0/0,3,,,,이론실습,N,"목6,7,8,9",창의혁신관(307),보기,"편입생 수강가능/SW관련학과 수강불가(컴퓨터공학과, 인공지능소프트웨어학과, 모바일융합공학과, 지능미디어공학과)",,,,4.0,
일반,,PROJ3001,2025201588,융합 캡스톤디자인Ⅲ,미래창의인재교육원,Y,0428211907,특선,3.0,주,01,N,절대,999,0,0,666,333,0,0,13,20254023,이종원,0/0/0/0/0/0/0,3,,,,이론실습,N,"화10,11,12,13",산학연협동관(106),보기,,,,,4.0,
일반,,PROJ3001,2025201608,융합 캡스톤디자인Ⅲ,미래창의인재교육원,Y,0428211864,특선,3.0,주,03,N,절대,999,222,222,333,222,0,0,8,20151015,백강,0/0/0/0/0/0/0,3,,,,이론실습,N,"월9,10,11,12",경상학관(611),보기,,,,,4.0,
일반,,TRAI1003,2025200757,표준현장실습(15주)1,미래창의인재교육원,Y,0428288652,특선,3.0,주,01,N,절대,999,0,0,555,444,0,0,20,20254022,이철준,0/0/0/0/0/0/0,3,,,,실습,N,,,보기,,,,,6.0,
일반,,TRAI2009,2025200758,표준현장실습(15주)2,미래창의인재교육원,Y,0428288652,특선,3.0,주,01,N,절대,999,0,0,555,444,0,0,15,20254021,윤석일,0/0/0/0/0/0/0,3,,,,실습,N,,,보기,,,,,6.0,
일반,,TRAI3008,2025200759,표준현장실습(15주)3,미래창의인재교육원,Y,0428288652,특선,3.0,주,01,N,절대,999,0,0,555,444,0,0,15,20254019,손윤정,,3,,,,실습,N,,,,,,,,6.0,
일반,,TRAI4022,2025200760,표준현장실습(15주)4,미래창의인재교육원,Y,0428288652,특선,3.0,주,01,N,절대,999,0,0,555,444,0,0,14,20254025,유완호,,3,,,,실습,N,,,,,,,,6.0,
일반,,TRAI5003,2025200761,표준현장실습(15주)5,미래창의인재교육원,Y,0428288652,특선,3.0,주,01,N,절대,999,0,0,555,444,0,0,13,20254024,이영헌,,3,,,,실습,N,,,,,,,,6.0,
교직,,TEED1004,2025202290,교육봉사활동,교원양성지원센터,Y,0428211026,교직,2.0,주,01,N,절대,30,0,0,0,0,30,30,2,20171002,김지현,0/0/0/0/0/0/0,4,,,Y,실습,N,,,보기,교직과정 이수중인 학생만 수강 가능합니다.,,,,4.0,
일반,,PROJ1101,2025201649,설계입문,기계공학과,Y,"0428211076, 1153",특필,3.0,주,01,N,상대,40,40,0,0,0,0,0,30,20151001,윤홍석,0/0/0/0/0/0/0,1,,,,이론,N,"월6,7,8",기계관(501),보기,,,,,3.0,기본전공
일반,,PROJ1101,2025201650,설계입문,기계공학과,Y,"0428211076, 1153",특필,3.0,주,02,N,상대,41,40,0,0,0,1,1,40,"20251001,20151001","하지환,윤홍석",0/0/0/0/0/0/0,1,,,,이론,N,"수6,7,8",기계관(607),보기,,,,,3.0,기본전공
일반,,PROJ1101,2025201651,설계입문,기계공학과,Y,"0428211076, 1153",특필,3.0,주,03,N,상대,41,40,0,0,0,1,1,40,20241014,정길언,0/0/0/0/0/0/0,1,,,,이론,N,"목6,7,8",기계관(607),보기,,,,,3.0,기본전공
일반,,MECH1102,2025201661,정역학,기계공학과,Y,"0428211076, 1153",전필,3.0,주,01,N,상대,45,40,0,0,0,5,5,29,20121003,신부현,0/0/0/0/0/0/0,1,,,,이론,N,"월6,7,8",기계관(606),보기,,,,,3.0,기본전공
일반,,MECH1102,2025201662,정역학,기계공학과,Y,"0428211076, 1153",전필,3.0,주,02,N,상대,45,40,0,0,0,5,5,45,20121003,신부현,0/0/0/0/0/0/0,1,,,,이론,N,"월1,2,3",기계관(606),보기,,,,,3.0,기본전공
일반,,MECH1102,2025201663,정역학,기계공학과,Y,"0428211076, 1153",전필,3.0,주,03,N,상대,42,40,0,0,0,2,2,42,20251010,김지석,0/0/0/0/0/0/0,1,,,,이론,N,"월6,7,8",기계관(513),보기,,,,,3.0,기본전공
일반,,MECH1102,2025201664,정역학,기계공학과,Y,"0428211076, 1153",전필,3.0,주,04,N,상대,44,40,0,0,0,4,4,44,20251010,김지석,0/0/0/0/0/0/0,1,,,,이론,N,"화1,2,3",기계관(513),보기,,,,,3.0,기본전공
일반,,GUID100002,2025201647,진로설계1(자기이해와 대학생활),기계공학과,Y,"0428211076, 1153",특필,1.0,주,01,N,절대,40,40,0,0,0,0,0,29,20071059,임채욱,0/0/0/0/0/0/0,1,,,Y,이론,N,월5,기계관(501),보기,,,,,1.0,
일반,,GUID100002,2025201648,진로설계1(자기이해와 대학생활),기계공학과,Y,"0428211076, 1153",특필,1.0,주,02,N,절대,40,40,0,0,0,0,0,27,20071059,임채욱,0/0/0/0/0/0/0,1,,,Y,이론,N,화5,기계관(501),보기,,,,,1.0,
일반,,MECH2102,2025201665,공업수학 (2),기계공학과,Y,"0428211076, 1153",전필,3.0,주,01,N,상대,40,0,40,0,0,0,0,40,20071059,임채욱,0/0/0/0/0/0/0,2,,블,,이론,Y,"월1,2,3",기계관(502),보기,,,,,3.0,기본전공
일반,,MECH2102,2025201666,공업수학 (2),기계공학과,Y,"0428211076, 1153",전필,3.0,주,02,N,상대,40,0,40,0,0,0,0,35,20071059,임채욱,0/0/0/0/0/0/0,2,,블,,이론,Y,"월6,7,8",기계관(502),보기,,,,,3.0,기본전공
일반,,MECH2102,2025201667,공업수학 (2),기계공학과,Y,"0428211076, 1153",전필,3.0,주,03,N,상대,70,0,70,0,0,0,0,70,20091017,김경연,0/0/0/0/0/0/0,2,,,,이론,Y,"수6,7,8",기계관(601),보기,,,,,3.0,기본전공
일반,,MECH2104,2025201655,기계공학실험 (1),기계공학과,Y,"0428211076, 1153",전필,2.0,주,01,N,절대,23,0,20,0,0,3,3,23,20071059,임채욱,0/0/0/0/0/0/0,2,,,,실습,N,"화6,7,8,9",기계관(502),보기,,,,,4.0,기본전공
일반,,MECH2104,2025201656,기계공학실험 (1),기계공학과,Y,"0428211076, 1153",전필,2.0,주,02,N,절대,23,0,20,0,0,3,3,23,20111006,김영식,0/0/0/0/0/0/0,2,,,,실습,N,"화6,7,8,9",기계관(206),보기,,,,,4.0,기본전공
일반,,MECH2104,2025201657,기계공학실험 (1),기계공학과,Y,"0428211076, 1153",전필,2.0,주,03,N,절대,23,0,20,0,0,3,3,22,20121003,신부현,0/0/0/0/0/0/0,2,,,,실습,N,"화6,7,8,9",소재관및공동실험실습관(302),보기,,,,,4.0,기본전공
일반,,MECH2104,2025201658,기계공학실험 (1),기계공학과,Y,"0428211076, 1153",전필,2.0,주,04,N,절대,23,0,20,0,0,3,3,23,20241014,정길언,0/0/0/0/0/0/0,2,,,,실습,N,"화6,7,8,9",소재관및공동실험실습관(402),보기,,,,,4.0,기본전공
일반,,MECH2104,2025201659,기계공학실험 (1),기계공학과,Y,"0428211076, 1153",전필,2.0,주,05,N,절대,23,0,20,0,0,3,3,22,20251010,김지석,0/0/0/0/0/0/0,2,,,,실습,N,"화6,7,8,9",기계관(606),보기,,,,,4.0,기본전공
일반,,MECH2104,2025201660,기계공학실험 (1),기계공학과,Y,"0428211076, 1153",전필,2.0,주,06,N,절대,24,0,20,0,0,4,4,24,20254002,유봉조,0/0/0/0/0/0/0,2,,,,실습,N,"화6,7,8,9",기계관(512),보기,,,,,4.0,기본전공
일반,,MECH2105,2025201816,기계재료,기계공학과,Y,"0428211076, 1153",전필,3.0,주,01,N,상대,80,0,80,0,0,0,0,72,20251001,하지환,0/0/0/0/0/0/0,2,,,,이론,Y,"목1,2,3",기계관(601),보기,,,,,3.0,기본전공
일반,,MECH2105,2025201817,기계재료,기계공학과,Y,"0428211076, 1153",전필,3.0,주,02,N,상대,80,0,80,0,0,0,0,77,20251001,하지환,0/0/0/0/0/0/0,2,,,,이론,Y,"목6,7,8",기계관(601),보기,,,,,3.0,기본전공
일반,,MECH2201,2025201672,기계제도 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,상대,45,0,40,0,0,5,5,44,20021003,이강수,0/0/0/0/0/0/0,2,,,,이론,Y,"목2,3,4",소재관및공동실험실습관(301),보기,,,,,3.0,
일반,,MECH2201,2025201673,기계제도 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,40,0,40,0,0,0,0,37,20021003,이강수,0/0/0/0/0/0/0,2,,,,이론,Y,"목6,7,8",소재관및공동실험실습관(301),보기,,,,,3.0,
일반,,MECH2202,2025201674,열역학 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,상대,40,0,40,0,0,0,0,37,20031025,최종민,0/0/0/0/0/0/0,2,,블,,이론,Y,"월1,2,3",기계관(501),보기,,,,,3.0,
일반,,MECH2202,2025201675,열역학 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,상대,40,0,40,0,0,0,0,40,20031025,최종민,0/0/0/0/0/0/0,2,,블,,이론,Y,"화1,2,3",기계관(501),보기,,,,,3.0,
일반,,MECH2202,2025201676,열역학 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,80,0,80,0,0,0,0,60,20111019,서성현,0/0/0/0/0/0/0,2,,온,,이론,Y,"수6,7,8",기계관(510),보기,,,,,3.0,
일반,,MECH2109,2025201668,유체역학 (1),기계공학과,Y,"0428211076, 1153",전필,3.0,주,01,N,상대,78,0,70,0,0,8,8,77,20091017,김경연,0/0/0/0/0/0/0,2,,,,이론,Y,"월6,7,8",기계관(601),보기,,,,,3.0,기본전공
일반,,MECH2109,2025201669,유체역학 (1),기계공학과,Y,"0428211076, 1153",전필,3.0,주,02,N,상대,40,0,40,0,0,0,0,40,20121007,이종광,0/0/0/0/0/0/0,2,,,,이론,Y,"월1,2,3",기계관(601),보기,,,,,3.0,기본전공
일반,,MECH2109,2025201670,유체역학 (1),기계공학과,Y,"0428211076, 1153",전필,3.0,주,03,N,상대,40,0,40,0,0,0,0,40,20121007,이종광,0/0/0/0/0/0/0,2,,,,이론,Y,"화1,2,3",기계관(601),보기,,,,,3.0,기본전공
일반,,GUID200002,2025201653,진로설계2(진로탐색과 자기계발),기계공학과,Y,"0428211076, 1153",특필,1.0,주,01,N,절대,40,0,40,0,0,0,0,36,20091017,김경연,0/0/0/0/0/0/0,2,,,Y,이론,N,월5,기계관(502),보기,,,,,1.0,
일반,,GUID200002,2025201654,진로설계2(진로탐색과 자기계발),기계공학과,Y,"0428211076, 1153",특필,1.0,주,02,N,절대,40,0,40,0,0,0,0,23,20091017,김경연,0/0/0/0/0/0/0,2,,,Y,이론,N,화5,기계관(502),보기,,,,,1.0,
학석,,MECH2111,2025201677,프리인턴쉽,기계공학과,Y,"0428211076, 1153",전필,3.0,주,01,N,절대,22,0,20,0,0,2,2,22,20121007,이종광,0/0/0/0/0/0/0,2,,,Y,실습,N,,,보기,학석사통합과정만 수강 가능.,,,,6.0,기본전공
일반,,MECH3101,2025201681,기계공작법,기계공학과,Y,"0428211076, 1153",전필,3.0,주,01,N,상대,40,0,0,40,0,0,0,28,20031024,이호철,0/0/0/0/0/0/0,3,,,,이론,Y,"월6,7,8",기계관(512),보기,,,,,3.0,기본전공
일반,,MECH3101,2025201682,기계공작법,기계공학과,Y,"0428211076, 1153",전필,3.0,주,02,N,상대,40,0,0,40,0,0,0,39,20031024,이호철,0/0/0/0/0/0/0,3,,,,이론,Y,"수6,7,8",기계관(512),보기,,,,,3.0,기본전공
일반,,MECH3101,2025201683,기계공작법,기계공학과,Y,"0428211076, 1153",전필,3.0,주,03,N,상대,43,0,0,40,0,3,3,43,20211706,노진성,0/0/0/0/0/0/0,3,,,,이론,Y,"화1,2,3",기계관(607),보기,,,,,3.0,기본전공
일반,,MECH3101,2025201684,기계공작법,기계공학과,Y,"0428211076, 1153",전필,3.0,주,04,N,상대,43,0,0,40,0,3,3,43,20211706,노진성,0/0/0/0/0/0/0,3,,,,이론,Y,"목1,2,3",기계관(607),보기,,,,,3.0,기본전공
일반,,MECH3202,2025201685,기계요소설계 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,상대,45,0,0,40,0,5,5,45,20061037,남윤의,0/0/0/0/0/0/0,3,,,,이론,Y,"화6,7,8",기계관(513),보기,,,,,3.0,
일반,,MECH3202,2025201686,기계요소설계 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,상대,40,0,0,40,0,0,0,28,20061037,남윤의,0/0/0/0/0/0/0,3,,,,이론,Y,"수6,7,8",기계관(513),보기,,,,,3.0,
일반,,MECH3202,2025201687,기계요소설계 (2),기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,40,0,0,40,0,0,0,39,20061037,남윤의,0/0/0/0/0/0/0,3,,,,이론,Y,"목6,7,8",기계관(513),보기,,,,,3.0,
일반,,STAR3001,2025201680,기업가정신과 창업,기계공학과,Y,"0428211076, 1153",특필,1.0,주,01,N,절대,35,0,0,35,0,0,0,33,20255029,오세구,0/0/0/0/0/0/0,3,,,Y,이론,N,수5,기계관(601),보기,,,,,1.0,
일반,,MECH3204,2025201705,나노공정개론,기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,상대,40,0,0,40,0,0,0,25,20211706,노진성,0/0/0/0/0/0/0,3,,,,이론,Y,"월6,7,8",기계관(607),보기,,,,,3.0,
일반,,MECH3206,2025201688,냉동 및 공기조화,기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,46,0,0,45,0,1,1,46,20031025,최종민,0/0/0/0/0/0/0,3,,블,,이론,Y,"월6,7,8",기계관(510),보기,,,,,3.0,
일반,,MECH3207,2025201689,모델링 ＆ 시뮬레이션,기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,상대,31,0,0,30,0,1,1,30,20241014,정길언,0/0/0/0/0/0/0,3,,,,이론,N,"월6,7,8",소재관및공동실험실습관(302),보기,,,,,3.0,
일반,,MECH3207,2025201690,모델링 ＆ 시뮬레이션,기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,상대,30,0,0,30,0,0,0,29,20241014,정길언,0/0/0/0/0/0/0,3,,,,이론,N,"화1,2,3",소재관및공동실험실습관(302),보기,,,,,3.0,
일반,,MECH3207,2025201691,모델링 ＆ 시뮬레이션,기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,38,0,0,38,0,0,0,37,20241014,정길언,0/0/0/0/0/0/0,3,,,Y,이론,N,"수6,7,8",소재관및공동실험실습관(302),보기,,,,,3.0,
일반,,MECH3208,2025201701,에너지공학,기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,상대,71,0,0,60,0,11,11,71,20061036,윤린,0/0/0/0/0/0/0,3,,,,이론,Y,"목2,3,4",기계관(510),보기,,,,,3.0,
일반,,MECH3208,2025201918,에너지공학,기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,40,0,0,40,0,0,0,24,20201024,김정재,0/0/0/0/0/0/0,3,,,,이론,Y,"수6,7,8",기계관(501),보기,,,,,3.0,
일반,,MECH3211,2025201692,자동제어,기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,절대,40,0,0,40,0,0,0,9,20071059,임채욱,0/0/0/0/0/0/0,3,,블,,이론,Y,"금1,2,3",기계관(502),보기,,,,,3.0,
일반,,MECH3211,2025201693,자동제어,기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,절대,40,0,0,40,0,0,0,8,20071059,임채욱,0/0/0/0/0/0/0,3,,블,,이론,N,"금6,7,8",기계관(502),보기,,,,,3.0,
일반,,MECH3211,2025201694,자동제어,기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,27,0,0,25,0,2,2,27,20111006,김영식,0/0/0/0/0/0/0,3,,,,이론,Y,"화2,3,4",기계관(502),보기,,,,,3.0,
일반,,MECH3213,2025201695,진동공학,기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,상대,40,0,0,40,0,0,0,16,20121003,신부현,0/0/0/0/0/0/0,3,,,,이론,Y,"목1,2,3",기계관(606),보기,,,,,3.0,
일반,,MECH3213,2025201696,진동공학,기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,42,0,0,40,0,2,2,41,20251010,김지석,0/0/0/0/0/0/0,3,,,,이론,Y,"목6,7,8",기계관(606),보기,,,,,3.0,
일반,,GUID300002,2025201678,진로설계3(진로설정과 경력개발),기계공학과,Y,"0428211076, 1153",특필,1.0,주,01,N,절대,40,0,0,40,0,0,0,31,20111019,서성현,0/0/0/0/0/0/0,3,,,Y,이론,N,월5,기계관(512),보기,,,,,1.0,
일반,,GUID300002,2025201679,진로설계3(진로설정과 경력개발),기계공학과,Y,"0428211076, 1153",특필,1.0,주,02,N,절대,40,0,0,40,0,0,0,38,20111019,서성현,0/0/0/0/0/0/0,3,,,Y,이론,N,화5,기계관(512),보기,,,,,1.0,
일반,,MECH3214,2025201697,최적설계,기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,상대,40,0,0,40,0,0,0,14,20061037,남윤의,0/0/0/0/0/0/0,3,,,,이론,Y,"목1,2,3",기계관(513),보기,,,,,3.0,
일반,,MECH3214,2025201698,최적설계,기계공학과,Y,"0428211076, 1153",심선,3.0,주,02,N,상대,40,0,0,40,0,0,0,40,20241014,정길언,0/0/0/0/0/0/0,3,,,,이론,Y,"월1,2,3",기계관(607),보기,,,,,3.0,
일반,,MECH3215,2025201699,추진공학,기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,상대,60,0,0,40,0,20,20,48,20221001,이민우,0/0/0/0/0/0/0,3,,,,이론,Y,"화2,3,4",기계관(510),보기,,,,,3.0,
일반,,MECH3215,2025201725,추진공학,기계공학과,Y,"0428211076, 1153",심선,3.0,주,03,N,상대,60,0,0,40,0,20,20,59,20221001,이민우,0/0/0/0/0/0/0,3,,,,이론,Y,"월2,3,4",기계관(510),보기,,,,,3.0,
일반,,MECH4201,2025201814,3D 디지털제조,기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,절대,43,0,0,0,40,3,3,36,20251001,하지환,0/0/0/0/0/0/0,4,,,,이론,N,"화6,7,8",기계관(607),보기,,,,,3.0,
일반,,MECH4202,2025201724,Matlab활용CAE,기계공학과,Y,"0428211076, 1153",심선,3.0,주,01,N,상대,40,0,0,0,40,0,0,24,20251010,김지석,0/0/0/0/0/0/0,4,,,,이론,N,"수6,7,8",기계관(606),보기,,,,,3.0,
일반,,GUID400002,2025201709,진로설계4(취업전략과 실전취업),기계공학과,Y,"0428211076, 1153",특필,1.0,주,01,N,절대,40,0,0,0,40,0,0,39,20111006,김영식,0/0/0/0/0/0/0,4,,,Y,이론,N,월5,기계관(513),보기,,,,,1.0,
일반,,GUID400002,2025201710,진로설계4(취업전략과 실전취업),기계공학과,Y,"0428211076, 1153",특필,1.0,주,02,N,절대,40,0,0,0,40,0,0,28,20111006,김영식,0/0/0/0/0/0/0,4,,,Y,이론,N,화5,기계관(513),보기,,,,,1.0,
일반,,PROJ4102,2025201711,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,01,N,절대,10,0,0,0,10,0,0,9,20031024,이호철,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(501),보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201712,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,02,N,절대,10,0,0,0,10,0,0,9,20031025,최종민,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(502),보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201713,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,03,N,절대,10,0,0,0,10,0,0,10,20061037,남윤의,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(510),보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201714,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,04,N,절대,11,0,0,0,11,0,0,11,20111006,김영식,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(513),보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201715,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,05,N,절대,10,0,0,0,10,0,0,10,20121003,신부현,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(301),보기,,,,,3.0,기본전공
